id log2FoldChange
ENSG00000109819 -Inf
ENSG00000159763 -Inf
ENSG00000176907 -Inf
ENSG00000140937 -Inf
ENSG00000205403 -9.43917754991663
ENSG00000137673 -9.22441556970455
ENSG00000125848 -8.14999803736898
ENSG00000144810 -7.93925115305127
ENSG00000102837 -7.9175771101929
ENSG00000162896 -7.86886182515987
ENSG00000179776 -7.43130470614534
ENSG00000099260 -7.32399473001651
ENSG00000100234 -7.09206863829942
ENSG00000106078 -7.06172547670179
ENSG00000076716 -7.01191875982874
ENSG00000107518 -7.01033425111275
ENSG00000170153 -7.00039144786517
ENSG00000143556 -6.85000279790856
ENSG00000132182 -6.49877769211786
ENSG00000164684 -6.40675607222425
ENSG00000137501 -6.3933105411593
ENSG00000135678 -6.341743399011
ENSG00000153071 -6.33120503921707
ENSG00000133687 -6.26630526442398
ENSG00000111859 -6.20678911291592
ENSG00000184012 -6.12259277610357
ENSG00000184330 -6.08535364505663
ENSG00000019186 -5.91435320931861
ENSG00000090376 -5.85194844222352
ENSG00000166920 -5.68415876834628
ENSG00000138061 -5.63947112842869
ENSG00000079931 -5.58557564586543
ENSG00000148346 -5.54576062399792
ENSG00000261115 -5.43542541505552
ENSG00000198771 -5.39081452835523
ENSG00000168497 -5.2418302580265
ENSG00000106829 -5.23408492929601
ENSG00000248713 -5.18970697196211
ENSG00000206073 -5.09167054863191
ENSG00000134258 -5.08385433462007
ENSG00000177614 -5.07022412020337
ENSG00000118515 -5.0567814467932
ENSG00000165071 -5.05273669347453
ENSG00000134986 -5.04391284308753
ENSG00000143195 -5.029133501623
ENSG00000073756 -4.92952571315162
ENSG00000123143 -4.83012433234943
ENSG00000079215 -4.77594671004764
ENSG00000104327 -4.74624253849592
ENSG00000162511 -4.74272455635988
ENSG00000073849 -4.65360558510505
ENSG00000146592 -4.64938099924333
ENSG00000158966 -4.60490132854373
ENSG00000131018 -4.41461976262514
ENSG00000164692 -4.40943020652257
ENSG00000165795 -4.30989453297166
ENSG00000153291 -4.25528820232119
ENSG00000123700 -4.21678512858018
ENSG00000111110 -4.17427483326422
ENSG00000117115 -4.17203562184688
ENSG00000071073 -4.0720720710656
ENSG00000057149 -3.90013197573349
ENSG00000142619 -3.89341505951891
ENSG00000135480 -3.89055689625919
ENSG00000173391 -3.86009161553214
ENSG00000113594 -3.8185780537361
ENSG00000158528 -3.77883962266905
ENSG00000120875 -3.75460289892685
ENSG00000104368 -3.6698475690752
ENSG00000156804 -3.63712294466627
ENSG00000178726 -3.63263063406378
ENSG00000163220 -3.62823699943712
ENSG00000124766 -3.61769605122519
ENSG00000106070 -3.59212250403876
ENSG00000106546 -3.58266108267437
ENSG00000115009 -3.51480303057988
ENSG00000154310 -3.48669533284928
ENSG00000092969 -3.48356969838819
ENSG00000206199 -3.45120380535426
ENSG00000167767 -3.41735209993584
ENSG00000186088 -3.39340316708086
ENSG00000156103 -3.37763913960749
ENSG00000071575 -3.36999189539554
ENSG00000162366 -3.3540732764932
ENSG00000122870 -3.3395061890822
ENSG00000146411 -3.33791797878761
ENSG00000197506 -3.32301003276192
ENSG00000164099 -3.26657817353817
ENSG00000163590 -3.25510206013128
ENSG00000135821 -3.25234633492561
ENSG00000144369 -3.2348438277104
ENSG00000163739 -3.20061160820296
ENSG00000138131 -3.19902613572519
ENSG00000101443 -3.1717893651183
ENSG00000135838 -3.17024254264315
ENSG00000112299 -3.14511283480531
ENSG00000039139 -3.1364965882989
ENSG00000144476 -3.12597052790782
ENSG00000188559 -3.11413425814882
ENSG00000232480 -3.1139743229964
ENSG00000075651 -3.10496725374584
ENSG00000049323 -3.09477011209925
ENSG00000162496 -3.0817197590412
ENSG00000196839 -3.08126342065545
ENSG00000169435 -3.07595629122758
ENSG00000198478 -3.07421642088499
ENSG00000109654 -3.06942473243343
ENSG00000111846 -3.00857164241349
ENSG00000164199 -2.98942854680333
ENSG00000164949 -2.9879664380843
ENSG00000108244 -2.97514661829908
ENSG00000114698 -2.94779925860716
ENSG00000134243 -2.94620024637594
ENSG00000151388 -2.94172592849212
ENSG00000105894 -2.93171048700618
ENSG00000121039 -2.9018441839283
ENSG00000128872 -2.88865749779825
ENSG00000137648 -2.87945356507772
ENSG00000138829 -2.86457167237685
ENSG00000134339 -2.7915879750945
ENSG00000165799 -2.79067367064571
ENSG00000176641 -2.78812226815324
ENSG00000164442 -2.76337310855458
ENSG00000162636 -2.75923248987402
ENSG00000182957 -2.74829602531601
ENSG00000130513 -2.73726926389955
ENSG00000169248 -2.71074802173465
ENSG00000164379 -2.69678821802108
ENSG00000253522 -2.68270379686121
ENSG00000101335 -2.68270379686121
ENSG00000163218 -2.67776280061315
ENSG00000132321 -2.67390802922604
ENSG00000153234 -2.66796923133824
ENSG00000103196 -2.6545427043591
ENSG00000042980 -2.62181787133936
ENSG00000078081 -2.60623091395628
ENSG00000091490 -2.59678993671011
ENSG00000164342 -2.58575297916304
ENSG00000162645 -2.5756859128179
ENSG00000125730 -2.55416956970506
ENSG00000119411 -2.54811481510383
ENSG00000117016 -2.54067473980083
ENSG00000171522 -2.52051405792481
ENSG00000169429 -2.49911431704555
ENSG00000157657 -2.49412737109785
ENSG00000170542 -2.48710957034445
ENSG00000119138 -2.48376240388343
ENSG00000178662 -2.47388940615731
ENSG00000196937 -2.46333982759545
ENSG00000111319 -2.45062819643807
ENSG00000143546 -2.43883478929233
ENSG00000129514 -2.41710413440799
ENSG00000150556 -2.40435921697515
ENSG00000030419 -2.38776528999567
ENSG00000100979 -2.37621603922735
ENSG00000130517 -2.35569822258478
ENSG00000135605 -2.35089588851106
ENSG00000184371 -2.34946028090967
ENSG00000186212 -2.34865494558066
ENSG00000095637 -2.34306139690686
ENSG00000111885 -2.34151345447012
ENSG00000128309 -2.32526975885857
ENSG00000176697 -2.3105059739814
ENSG00000165029 -2.30989453297166
ENSG00000181885 -2.30628327941928
ENSG00000143162 -2.29636690670843
ENSG00000106976 -2.26984128345122
ENSG00000102359 -2.26074688364257
ENSG00000178075 -2.25408367000315
ENSG00000165434 -2.24582512531971
ENSG00000123358 -2.24369821832294
ENSG00000144802 -2.24100118620496
ENSG00000205189 -2.21907330517545
ENSG00000164733 -2.21219395663535
ENSG00000196533 -2.20783144699502
ENSG00000114796 -2.18031357191503
ENSG00000177706 -2.17765089478749
ENSG00000163430 -2.1700540510902
ENSG00000137462 -2.16321446579216
ENSG00000064300 -2.16175666632863
ENSG00000180530 -2.15218789780044
ENSG00000171766 -2.14594838401877
ENSG00000176485 -2.13189623099366
ENSG00000162512 -2.12721182143718
ENSG00000205488 -2.12590310603651
ENSG00000149591 -2.11585656846797
ENSG00000073464 -2.11465371789518
ENSG00000174080 -2.09699356061251
ENSG00000173432 -2.09691680980427
ENSG00000134668 -2.08419317660464
ENSG00000150907 -2.07941976533735
ENSG00000245648 -2.07829093882266
ENSG00000173281 -2.06988656871824
ENSG00000091986 -2.06650181302266
ENSG00000155130 -2.06641874597708
ENSG00000148848 -2.05887627089678
ENSG00000223829 -2.05436987168852
ENSG00000157510 -2.05228741905115
ENSG00000248323 -2.05116026457149
ENSG00000145819 -2.04836371772825
ENSG00000177570 -2.04512350936466
ENSG00000174130 -2.04391284308753
ENSG00000155974 -2.04019639685685
ENSG00000243137 -2.03973569270448
ENSG00000172915 -2.0374865739281
ENSG00000070729 -2.02238130465999
ENSG00000115232 -2.020670603157
ENSG00000230943 -2.02048100188445
ENSG00000116191 -2.01637190584285
ENSG00000107372 -2.01422305810889
ENSG00000134198 -2.01288407028863
ENSG00000078401 -2.0052536998755
