id log2FoldChange
ENSG00000159763 -7.8798963223878
ENSG00000125848 -4.79515198422745
ENSG00000162896 -4.63158536839952
ENSG00000100979 -4.63021713008781
ENSG00000176907 -3.63158536839952
ENSG00000148346 -3.52523382818672
ENSG00000179776 -3.34703986789096
ENSG00000100234 -3.28769241467843
ENSG00000109819 -3.11638267351458
ENSG00000162511 -3.11319658791752
ENSG00000163220 -3.00023530565059
ENSG00000188488 -2.92936851111946
ENSG00000099260 -2.80341147239611
ENSG00000090376 -2.75071052536543
ENSG00000104327 -2.69256602007496
ENSG00000165795 -2.6680426584492
ENSG00000143546 -2.6236703575711
ENSG00000112299 -2.60013292287744
ENSG00000107331 -2.59264567913318
ENSG00000206199 -2.49133550220834
ENSG00000198771 -2.44618895819477
ENSG00000123143 -2.44092255755799
ENSG00000143556 -2.39712727811217
ENSG00000132321 -2.34609939608795
ENSG00000140937 -2.33291452612402
ENSG00000144476 -2.28375095314215
ENSG00000039139 -2.2615725561814
ENSG00000121039 -2.25633666211365
ENSG00000101144 -2.25524024762687
ENSG00000135821 -2.20164504276845
ENSG00000165799 -2.19776601762817
ENSG00000166920 -2.18228832895405
ENSG00000111859 -2.11924914262868
ENSG00000137673 -2.1178534710315
ENSG00000108244 -2.1176309796414
ENSG00000104368 -2.02537613444002
ENSG00000165125 -2.02321677579508
ENSG00000184012 -2.00389011455831
ENSG00000101773 -1.9720760004691
ENSG00000102837 -1.96735194038488
ENSG00000162496 -1.96531249681391
ENSG00000180758 -1.95612151449536
ENSG00000180530 -1.9340113414247
ENSG00000019186 -1.91314411079179
ENSG00000076716 -1.88197634717972
ENSG00000196533 -1.849601253302
ENSG00000107159 -1.84478516669014
ENSG00000162366 -1.82598948786853
ENSG00000106546 -1.82566092067117
ENSG00000245648 -1.8029951663854
ENSG00000249867 -1.75639330213364
ENSG00000132182 -1.75340749802062
ENSG00000253522 -1.74966620097596
ENSG00000050730 -1.74957973283202
ENSG00000118515 -1.70137772806184
ENSG00000117016 -1.68082149051955
ENSG00000206073 -1.67943701333287
ENSG00000042980 -1.64124153447025
ENSG00000145113 -1.63248594366497
ENSG00000107249 -1.58250564881681
ENSG00000154188 -1.5738840825839
ENSG00000162512 -1.53791218463539
ENSG00000196937 -1.52842207535925
ENSG00000259498 -1.52744957335111
ENSG00000100628 -1.50880468066003
ENSG00000143858 -1.49498241991503
ENSG00000134668 -1.48941719084373
ENSG00000122870 -1.48170757348437
ENSG00000103196 -1.47977436902079
ENSG00000242948 -1.47711618920682
ENSG00000109861 -1.47203922613482
ENSG00000261115 -1.46962165265989
ENSG00000224689 -1.46675272023957
ENSG00000134339 -1.46554731528763
ENSG00000078081 -1.45412891445234
ENSG00000176697 -1.44537410641322
ENSG00000135838 -1.44171801998384
ENSG00000143162 -1.42923438337367
ENSG00000147573 -1.41085456484055
ENSG00000182957 -1.40822110799575
ENSG00000174028 -1.40533282867092
ENSG00000234664 -1.40212459105378
ENSG00000077157 -1.39287499888458
ENSG00000188559 -1.38773673323214
ENSG00000169435 -1.35545262486161
ENSG00000122378 -1.35478184903429
ENSG00000078401 -1.33244763575946
